,Run,Model,Groups,Adapter method,Subject / Task
1852,"mmlu:subject=econometrics,method=multiple_choice_joint,model=google_gemma-2-27b-it",google/gemma-2-27b-it,mmlu,multiple_choice_joint,econometrics
1853,"mmlu:subject=econometrics,method=multiple_choice_joint,model=google_gemma-2-9b-it",google/gemma-2-9b-it,mmlu,multiple_choice_joint,econometrics
1854,"mmlu:subject=econometrics,method=multiple_choice_joint,model=microsoft_phi-3-medium-4k-instruct",microsoft/phi-3-medium-4k-instruct,mmlu,multiple_choice_joint,econometrics
1855,"mmlu:subject=econometrics,method=multiple_choice_joint,model=microsoft_phi-3-small-8k-instruct",microsoft/phi-3-small-8k-instruct,mmlu,multiple_choice_joint,econometrics
1856,"mmlu:subject=econometrics,method=multiple_choice_joint,model=mistralai_mistral-large-2407",mistralai/mistral-large-2407,mmlu,multiple_choice_joint,econometrics
1857,"mmlu:subject=econometrics,method=multiple_choice_joint,model=mistralai_open-mistral-nemo-2407",mistralai/open-mistral-nemo-2407,mmlu,multiple_choice_joint,econometrics
1858,"mmlu:subject=econometrics,method=multiple_choice_joint,model=openai_gpt-4o-mini-2024-07-18",openai/gpt-4o-mini-2024-07-18,mmlu,multiple_choice_joint,econometrics
1859,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=ai21_jamba-instruct",ai21/jamba-instruct,mmlu,multiple_choice_joint,us_foreign_policy
1860,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=google_gemma-2-27b-it",google/gemma-2-27b-it,mmlu,multiple_choice_joint,us_foreign_policy
1861,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=google_gemma-2-9b-it",google/gemma-2-9b-it,mmlu,multiple_choice_joint,us_foreign_policy
1862,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=microsoft_phi-3-medium-4k-instruct",microsoft/phi-3-medium-4k-instruct,mmlu,multiple_choice_joint,us_foreign_policy
1863,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=microsoft_phi-3-small-8k-instruct",microsoft/phi-3-small-8k-instruct,mmlu,multiple_choice_joint,us_foreign_policy
1864,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=mistralai_mistral-large-2407",mistralai/mistral-large-2407,mmlu,multiple_choice_joint,us_foreign_policy
1865,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=mistralai_open-mistral-nemo-2407",mistralai/open-mistral-nemo-2407,mmlu,multiple_choice_joint,us_foreign_policy
1866,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=openai_gpt-4o-mini-2024-07-18",openai/gpt-4o-mini-2024-07-18,mmlu,multiple_choice_joint,us_foreign_policy
1867,narrative_qa:model=ai21_jamba-instruct,ai21/jamba-instruct,narrative_qa,generation,-
1868,narrative_qa:model=google_gemma-2-27b-it,google/gemma-2-27b-it,narrative_qa,generation,-
1869,narrative_qa:model=google_gemma-2-9b-it,google/gemma-2-9b-it,narrative_qa,generation,-
1870,narrative_qa:model=microsoft_phi-3-medium-4k-instruct,microsoft/phi-3-medium-4k-instruct,narrative_qa,generation,-
1871,narrative_qa:model=microsoft_phi-3-small-8k-instruct,microsoft/phi-3-small-8k-instruct,narrative_qa,generation,-
1872,narrative_qa:model=mistralai_mistral-large-2407,mistralai/mistral-large-2407,narrative_qa,generation,-
1873,narrative_qa:model=mistralai_open-mistral-nemo-2407,mistralai/open-mistral-nemo-2407,narrative_qa,generation,-
1874,narrative_qa:model=openai_gpt-4o-mini-2024-07-18,openai/gpt-4o-mini-2024-07-18,narrative_qa,generation,-
1875,"natural_qa:mode=closedbook,model=ai21_jamba-instruct",ai21/jamba-instruct,natural_qa_closedbook,generation,-
1876,"natural_qa:mode=closedbook,model=google_gemma-2-27b-it",google/gemma-2-27b-it,natural_qa_closedbook,generation,-
1877,"natural_qa:mode=closedbook,model=google_gemma-2-9b-it",google/gemma-2-9b-it,natural_qa_closedbook,generation,-
1878,"natural_qa:mode=closedbook,model=microsoft_phi-3-medium-4k-instruct",microsoft/phi-3-medium-4k-instruct,natural_qa_closedbook,generation,-
1879,"natural_qa:mode=closedbook,model=microsoft_phi-3-small-8k-instruct",microsoft/phi-3-small-8k-instruct,natural_qa_closedbook,generation,-
1880,"natural_qa:mode=closedbook,model=mistralai_mistral-large-2407",mistralai/mistral-large-2407,natural_qa_closedbook,generation,-
1881,"natural_qa:mode=closedbook,model=mistralai_open-mistral-nemo-2407",mistralai/open-mistral-nemo-2407,natural_qa_closedbook,generation,-
1882,"natural_qa:mode=closedbook,model=openai_gpt-4o-mini-2024-07-18",openai/gpt-4o-mini-2024-07-18,natural_qa_closedbook,generation,-
1883,"natural_qa:mode=openbook_longans,model=ai21_jamba-instruct",ai21/jamba-instruct,natural_qa_openbook_longans,generation,-
1884,"natural_qa:mode=openbook_longans,model=google_gemma-2-27b-it",google/gemma-2-27b-it,natural_qa_openbook_longans,generation,-
1885,"natural_qa:mode=openbook_longans,model=google_gemma-2-9b-it",google/gemma-2-9b-it,natural_qa_openbook_longans,generation,-
1886,"natural_qa:mode=openbook_longans,model=microsoft_phi-3-medium-4k-instruct",microsoft/phi-3-medium-4k-instruct,natural_qa_openbook_longans,generation,-
1887,"natural_qa:mode=openbook_longans,model=microsoft_phi-3-small-8k-instruct",microsoft/phi-3-small-8k-instruct,natural_qa_openbook_longans,generation,-
1888,"natural_qa:mode=openbook_longans,model=mistralai_mistral-large-2407",mistralai/mistral-large-2407,natural_qa_openbook_longans,generation,-
1889,"natural_qa:mode=openbook_longans,model=mistralai_open-mistral-nemo-2407",mistralai/open-mistral-nemo-2407,natural_qa_openbook_longans,generation,-
1890,"natural_qa:mode=openbook_longans,model=openai_gpt-4o-mini-2024-07-18",openai/gpt-4o-mini-2024-07-18,natural_qa_openbook_longans,generation,-
1891,"wmt_14:language_pair=cs-en,model=ai21_jamba-instruct",ai21/jamba-instruct,wmt_14,generation,-
1892,"wmt_14:language_pair=cs-en,model=google_gemma-2-27b-it",google/gemma-2-27b-it,wmt_14,generation,-
1893,"wmt_14:language_pair=cs-en,model=google_gemma-2-9b-it",google/gemma-2-9b-it,wmt_14,generation,-
1894,"wmt_14:language_pair=cs-en,model=microsoft_phi-3-medium-4k-instruct",microsoft/phi-3-medium-4k-instruct,wmt_14,generation,-
1895,"wmt_14:language_pair=cs-en,model=microsoft_phi-3-small-8k-instruct",microsoft/phi-3-small-8k-instruct,wmt_14,generation,-
1896,"wmt_14:language_pair=cs-en,model=mistralai_mistral-large-2407",mistralai/mistral-large-2407,wmt_14,generation,-
1897,"wmt_14:language_pair=cs-en,model=mistralai_open-mistral-nemo-2407",mistralai/open-mistral-nemo-2407,wmt_14,generation,-
1898,"wmt_14:language_pair=cs-en,model=openai_gpt-4o-mini-2024-07-18",openai/gpt-4o-mini-2024-07-18,wmt_14,generation,-
1899,"wmt_14:language_pair=de-en,model=ai21_jamba-instruct",ai21/jamba-instruct,wmt_14,generation,-
1900,"wmt_14:language_pair=de-en,model=google_gemma-2-27b-it",google/gemma-2-27b-it,wmt_14,generation,-
1901,"wmt_14:language_pair=de-en,model=google_gemma-2-9b-it",google/gemma-2-9b-it,wmt_14,generation,-
1902,"wmt_14:language_pair=de-en,model=microsoft_phi-3-medium-4k-instruct",microsoft/phi-3-medium-4k-instruct,wmt_14,generation,-
1903,"wmt_14:language_pair=de-en,model=microsoft_phi-3-small-8k-instruct",microsoft/phi-3-small-8k-instruct,wmt_14,generation,-
1904,"wmt_14:language_pair=de-en,model=mistralai_mistral-large-2407",mistralai/mistral-large-2407,wmt_14,generation,-
1905,"wmt_14:language_pair=de-en,model=mistralai_open-mistral-nemo-2407",mistralai/open-mistral-nemo-2407,wmt_14,generation,-
1906,"wmt_14:language_pair=de-en,model=openai_gpt-4o-mini-2024-07-18",openai/gpt-4o-mini-2024-07-18,wmt_14,generation,-
1907,"wmt_14:language_pair=fr-en,model=google_gemma-2-27b-it",google/gemma-2-27b-it,wmt_14,generation,-
1908,"wmt_14:language_pair=fr-en,model=google_gemma-2-9b-it",google/gemma-2-9b-it,wmt_14,generation,-
1909,"wmt_14:language_pair=fr-en,model=microsoft_phi-3-medium-4k-instruct",microsoft/phi-3-medium-4k-instruct,wmt_14,generation,-
1910,"wmt_14:language_pair=fr-en,model=microsoft_phi-3-small-8k-instruct",microsoft/phi-3-small-8k-instruct,wmt_14,generation,-
1911,"wmt_14:language_pair=fr-en,model=mistralai_mistral-large-2407",mistralai/mistral-large-2407,wmt_14,generation,-
1912,"wmt_14:language_pair=fr-en,model=mistralai_open-mistral-nemo-2407",mistralai/open-mistral-nemo-2407,wmt_14,generation,-
1913,"wmt_14:language_pair=fr-en,model=openai_gpt-4o-mini-2024-07-18",openai/gpt-4o-mini-2024-07-18,wmt_14,generation,-
1914,"wmt_14:language_pair=hi-en,model=ai21_jamba-instruct",ai21/jamba-instruct,wmt_14,generation,-
1915,"wmt_14:language_pair=hi-en,model=google_gemma-2-27b-it",google/gemma-2-27b-it,wmt_14,generation,-
1916,"wmt_14:language_pair=hi-en,model=google_gemma-2-9b-it",google/gemma-2-9b-it,wmt_14,generation,-
1917,"wmt_14:language_pair=hi-en,model=microsoft_phi-3-medium-4k-instruct",microsoft/phi-3-medium-4k-instruct,wmt_14,generation,-
1918,"wmt_14:language_pair=hi-en,model=microsoft_phi-3-small-8k-instruct",microsoft/phi-3-small-8k-instruct,wmt_14,generation,-
1919,"wmt_14:language_pair=hi-en,model=mistralai_mistral-large-2407",mistralai/mistral-large-2407,wmt_14,generation,-
1920,"wmt_14:language_pair=hi-en,model=mistralai_open-mistral-nemo-2407",mistralai/open-mistral-nemo-2407,wmt_14,generation,-
1921,"wmt_14:language_pair=hi-en,model=openai_gpt-4o-mini-2024-07-18",openai/gpt-4o-mini-2024-07-18,wmt_14,generation,-
1922,"wmt_14:language_pair=ru-en,model=ai21_jamba-instruct",ai21/jamba-instruct,wmt_14,generation,-
1923,"wmt_14:language_pair=ru-en,model=google_gemma-2-27b-it",google/gemma-2-27b-it,wmt_14,generation,-
1924,"wmt_14:language_pair=ru-en,model=google_gemma-2-9b-it",google/gemma-2-9b-it,wmt_14,generation,-
1925,"wmt_14:language_pair=ru-en,model=microsoft_phi-3-medium-4k-instruct",microsoft/phi-3-medium-4k-instruct,wmt_14,generation,-
1926,"wmt_14:language_pair=ru-en,model=microsoft_phi-3-small-8k-instruct",microsoft/phi-3-small-8k-instruct,wmt_14,generation,-
1927,"wmt_14:language_pair=ru-en,model=mistralai_mistral-large-2407",mistralai/mistral-large-2407,wmt_14,generation,-
1928,"wmt_14:language_pair=ru-en,model=mistralai_open-mistral-nemo-2407",mistralai/open-mistral-nemo-2407,wmt_14,generation,-
1929,"wmt_14:language_pair=ru-en,model=openai_gpt-4o-mini-2024-07-18",openai/gpt-4o-mini-2024-07-18,wmt_14,generation,-
1930,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,openbookqa,multiple_choice_joint,-
1931,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,openbookqa,multiple_choice_joint,-
1932,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,openbookqa,multiple_choice_joint,-
1933,"gsm:model=meta_llama-3.1-405b-instruct-turbo,stop=none",meta/llama-3.1-405b-instruct-turbo,gsm,generation,-
1934,"gsm:model=meta_llama-3.1-70b-instruct-turbo,stop=none",meta/llama-3.1-70b-instruct-turbo,gsm,generation,-
1935,"gsm:model=meta_llama-3.1-8b-instruct-turbo,stop=none",meta/llama-3.1-8b-instruct-turbo,gsm,generation,-
1936,"legalbench:subset=abercrombie,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,legalbench,generation,-
1937,"legalbench:subset=abercrombie,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,legalbench,generation,-
1938,"legalbench:subset=abercrombie,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,legalbench,generation,-
1939,"legalbench:subset=corporate_lobbying,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,legalbench,generation,-
1940,"legalbench:subset=corporate_lobbying,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,legalbench,generation,-
1941,"legalbench:subset=corporate_lobbying,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,legalbench,generation,-
1942,"legalbench:subset=function_of_decision_section,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,legalbench,generation,-
1943,"legalbench:subset=function_of_decision_section,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,legalbench,generation,-
1944,"legalbench:subset=function_of_decision_section,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,legalbench,generation,-
1945,"legalbench:subset=international_citizenship_questions,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,legalbench,generation,-
1946,"legalbench:subset=international_citizenship_questions,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,legalbench,generation,-
1947,"legalbench:subset=international_citizenship_questions,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,legalbench,generation,-
1948,"legalbench:subset=proa,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,legalbench,generation,-
1949,"legalbench:subset=proa,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,legalbench,generation,-
1950,"legalbench:subset=proa,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,legalbench,generation,-
1951,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,math_chain_of_thought,generation,algebra
1952,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,math_chain_of_thought,generation,algebra
1953,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,math_chain_of_thought,generation,algebra
1954,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,math_chain_of_thought,generation,counting_and_probability
1955,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,math_chain_of_thought,generation,counting_and_probability
1956,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,math_chain_of_thought,generation,counting_and_probability
1957,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,math_chain_of_thought,generation,geometry
1958,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,math_chain_of_thought,generation,geometry
1959,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,math_chain_of_thought,generation,geometry
1960,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,math_chain_of_thought,generation,intermediate_algebra
1961,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,math_chain_of_thought,generation,intermediate_algebra
1962,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,math_chain_of_thought,generation,intermediate_algebra
1963,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,math_chain_of_thought,generation,number_theory
1964,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,math_chain_of_thought,generation,number_theory
1965,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,math_chain_of_thought,generation,number_theory
1966,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,math_chain_of_thought,generation,prealgebra
1967,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,math_chain_of_thought,generation,prealgebra
1968,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,math_chain_of_thought,generation,prealgebra
1969,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,math_chain_of_thought,generation,precalculus
1970,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,math_chain_of_thought,generation,precalculus
1971,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,math_chain_of_thought,generation,precalculus
1972,med_qa:model=meta_llama-3.1-405b-instruct-turbo,meta/llama-3.1-405b-instruct-turbo,med_qa,multiple_choice_joint,-
1973,med_qa:model=meta_llama-3.1-70b-instruct-turbo,meta/llama-3.1-70b-instruct-turbo,med_qa,multiple_choice_joint,-
1974,med_qa:model=meta_llama-3.1-8b-instruct-turbo,meta/llama-3.1-8b-instruct-turbo,med_qa,multiple_choice_joint,-
1975,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,mmlu,multiple_choice_joint,abstract_algebra
1976,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,mmlu,multiple_choice_joint,abstract_algebra
1977,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,mmlu,multiple_choice_joint,abstract_algebra
1978,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,mmlu,multiple_choice_joint,college_chemistry
1979,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,mmlu,multiple_choice_joint,college_chemistry
1980,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,mmlu,multiple_choice_joint,college_chemistry
1981,"mmlu:subject=computer_security,method=multiple_choice_joint,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,mmlu,multiple_choice_joint,computer_security
1982,"mmlu:subject=computer_security,method=multiple_choice_joint,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,mmlu,multiple_choice_joint,computer_security
1983,"mmlu:subject=computer_security,method=multiple_choice_joint,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,mmlu,multiple_choice_joint,computer_security
1984,"mmlu:subject=econometrics,method=multiple_choice_joint,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,mmlu,multiple_choice_joint,econometrics
1985,"mmlu:subject=econometrics,method=multiple_choice_joint,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,mmlu,multiple_choice_joint,econometrics
1986,"mmlu:subject=econometrics,method=multiple_choice_joint,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,mmlu,multiple_choice_joint,econometrics
1987,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,mmlu,multiple_choice_joint,us_foreign_policy
1988,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,mmlu,multiple_choice_joint,us_foreign_policy
1989,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,mmlu,multiple_choice_joint,us_foreign_policy
1990,narrative_qa:model=meta_llama-3.1-405b-instruct-turbo,meta/llama-3.1-405b-instruct-turbo,narrative_qa,generation,-
1991,narrative_qa:model=meta_llama-3.1-70b-instruct-turbo,meta/llama-3.1-70b-instruct-turbo,narrative_qa,generation,-
1992,narrative_qa:model=meta_llama-3.1-8b-instruct-turbo,meta/llama-3.1-8b-instruct-turbo,narrative_qa,generation,-
1993,"natural_qa:mode=closedbook,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,natural_qa_closedbook,generation,-
1994,"natural_qa:mode=closedbook,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,natural_qa_closedbook,generation,-
1995,"natural_qa:mode=closedbook,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,natural_qa_closedbook,generation,-
1996,"natural_qa:mode=openbook_longans,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,natural_qa_openbook_longans,generation,-
1997,"natural_qa:mode=openbook_longans,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,natural_qa_openbook_longans,generation,-
1998,"natural_qa:mode=openbook_longans,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,natural_qa_openbook_longans,generation,-
1999,"wmt_14:language_pair=cs-en,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,wmt_14,generation,-
2000,"wmt_14:language_pair=cs-en,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,wmt_14,generation,-
2001,"wmt_14:language_pair=cs-en,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,wmt_14,generation,-
2002,"wmt_14:language_pair=de-en,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,wmt_14,generation,-
2003,"wmt_14:language_pair=de-en,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,wmt_14,generation,-
2004,"wmt_14:language_pair=de-en,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,wmt_14,generation,-
2005,"wmt_14:language_pair=fr-en,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,wmt_14,generation,-
2006,"wmt_14:language_pair=fr-en,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,wmt_14,generation,-
2007,"wmt_14:language_pair=fr-en,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,wmt_14,generation,-
2008,"wmt_14:language_pair=hi-en,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,wmt_14,generation,-
2009,"wmt_14:language_pair=hi-en,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,wmt_14,generation,-
2010,"wmt_14:language_pair=hi-en,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,wmt_14,generation,-
2011,"wmt_14:language_pair=ru-en,model=meta_llama-3.1-405b-instruct-turbo",meta/llama-3.1-405b-instruct-turbo,wmt_14,generation,-
2012,"wmt_14:language_pair=ru-en,model=meta_llama-3.1-70b-instruct-turbo",meta/llama-3.1-70b-instruct-turbo,wmt_14,generation,-
2013,"wmt_14:language_pair=ru-en,model=meta_llama-3.1-8b-instruct-turbo",meta/llama-3.1-8b-instruct-turbo,wmt_14,generation,-
2014,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=ai21_jamba-1.5-large",ai21/jamba-1.5-large,openbookqa,multiple_choice_joint,-
2015,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=ai21_jamba-1.5-mini",ai21/jamba-1.5-mini,openbookqa,multiple_choice_joint,-
2016,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=writer_palmyra-x-004",writer/palmyra-x-004,openbookqa,multiple_choice_joint,-
2017,"gsm:model=ai21_jamba-1.5-large,stop=none",ai21/jamba-1.5-large,gsm,generation,-
2018,"gsm:model=ai21_jamba-1.5-mini,stop=none",ai21/jamba-1.5-mini,gsm,generation,-
2019,"gsm:model=writer_palmyra-x-004,stop=none",writer/palmyra-x-004,gsm,generation,-
2020,"legalbench:subset=abercrombie,model=ai21_jamba-1.5-large",ai21/jamba-1.5-large,legalbench,generation,-
2021,"legalbench:subset=abercrombie,model=ai21_jamba-1.5-mini",ai21/jamba-1.5-mini,legalbench,generation,-
2022,"legalbench:subset=abercrombie,model=writer_palmyra-x-004,stop=none",writer/palmyra-x-004,legalbench,generation,-
2023,"legalbench:subset=corporate_lobbying,model=ai21_jamba-1.5-large",ai21/jamba-1.5-large,legalbench,generation,-
2024,"legalbench:subset=corporate_lobbying,model=ai21_jamba-1.5-mini",ai21/jamba-1.5-mini,legalbench,generation,-
2025,"legalbench:subset=corporate_lobbying,model=writer_palmyra-x-004,stop=none",writer/palmyra-x-004,legalbench,generation,-
2026,"legalbench:subset=function_of_decision_section,model=ai21_jamba-1.5-large",ai21/jamba-1.5-large,legalbench,generation,-
2027,"legalbench:subset=function_of_decision_section,model=ai21_jamba-1.5-mini",ai21/jamba-1.5-mini,legalbench,generation,-
2028,"legalbench:subset=function_of_decision_section,model=writer_palmyra-x-004,stop=none",writer/palmyra-x-004,legalbench,generation,-
2029,"legalbench:subset=international_citizenship_questions,model=ai21_jamba-1.5-large",ai21/jamba-1.5-large,legalbench,generation,-
2030,"legalbench:subset=international_citizenship_questions,model=ai21_jamba-1.5-mini",ai21/jamba-1.5-mini,legalbench,generation,-
2031,"legalbench:subset=international_citizenship_questions,model=writer_palmyra-x-004,stop=none",writer/palmyra-x-004,legalbench,generation,-
2032,"legalbench:subset=proa,model=ai21_jamba-1.5-large",ai21/jamba-1.5-large,legalbench,generation,-
2033,"legalbench:subset=proa,model=ai21_jamba-1.5-mini",ai21/jamba-1.5-mini,legalbench,generation,-
2034,"legalbench:subset=proa,model=writer_palmyra-x-004,stop=none",writer/palmyra-x-004,legalbench,generation,-
